original_filename,new_filename
Distorted AM Radio noise.wav,0.wav
Paper_Parchment_Rustling.wav,1.wav
03 Whales Slowing Down.wav,2.wav
Rope tied to boat in port.wav,3.wav
carpenter bee.wav,4.wav
violin1.wav,5.wav
121006_rain&amp;storm.wav,6.wav
draaiorgel2.wav,7.wav
Officejet Printer.wav,8.wav
Stockholm subway C20 train departing.wav,9.wav
metalTunnel.wav,10.wav
Ambience Night crickets.wav,11.wav
Maria Hernandez Park September 1st.wav,12.wav
Traffic Light.wav,13.wav
jettish.wav,14.wav
broken comms2.wav,15.wav
wind3.wav,16.wav
Drinking Through Straw.wav,17.wav
the swarm v31m3.wav,18.wav
Giant 1.wav,19.wav
dull metal.wav,20.wav
Small Chain Clanging.wav,21.wav
Hitting Tall Grass.wav,22.wav
Thunder Storm Daytona 3.wav,23.wav
smoking in car.wav,24.wav
Huston we have a problem (before &amp; after cleaning).wav,25.wav
Subping03.wav,26.wav
sheep on pasture.wav,27.wav
je_footstepsCement.wav,28.wav
Geroezemoes.wav,29.wav
paper01.wav,30.wav
0400 Traffic_police.wav,31.wav
"Crowd ambience, eating popcorn.wav",32.wav
"Walking in a park, on gravel (wind) - Athens National Botanical Garden.wav",33.wav
Fan_Ventilation_Stereo 4.wav,34.wav
Cicadas and birds in a hot summer noon.wav,35.wav
150209 Trevor Webb Beard Trimming.wav,36.wav
16_Rain_Light_Ocean_44_16.wav,37.wav
160718 HSN boy on tricycle passing by.wav,38.wav
remix of 130879__frederic-font__05-hang-song-1.wav,39.wav
2 Gardener - May 2013 - Take01 - ZOOM H2n.wav,40.wav
fridaynight.wav,41.wav
ClockTicking.wav,42.wav
Running.wav,43.wav
opening and closing a loft door.wav,44.wav
Breaking Glass .wav,45.wav
arsta.wav,46.wav
Dog splashing in a lake.wav,47.wav
20100402.Brugge.street.04.wav,48.wav
DOOR_sliding_fthrll.wav,49.wav
20110220_river.wav,50.wav
20130723_Rain1.wav,51.wav
SFX_001.wav,52.wav
steel water.wav,53.wav
A swing is squeaking at night. (Ukraine.wav,54.wav
Lively Forest Stream (loop).wav,55.wav
Bangles put on arm.wav,56.wav
AMB_Supermarket_BCN.wav,57.wav
Pig - Multiple Snorts 6 (2 pigs) - 96kHz.wav,58.wav
Anti Air Gun (3 Sounds).wav,59.wav
City Ambience w_ Car Passing_1-2.wav,60.wav
Goin wee wee.wav,61.wav
Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.wav,62.wav
Baby crying slowed down.wav,63.wav
driving_buying_beer_on_sunday.wav,64.wav
pc_mouse.wav,65.wav
metro underground ambient noisy transport catalan barcelona minimal tickling glitch.wav,66.wav
hugeSlidingDoorSlamECM800.wav,67.wav
Boa Constrictor.wav,68.wav
bohinj_forestFootsteps.wav,69.wav
"Uh, Hi, Mom. I Crashed the Car.wav",70.wav
Busy Coffee Shop.wav,71.wav
Water Pour and Drink.wav,72.wav
outdoors ambient windy wind leaves rustle.wav,73.wav
vacuum power head.wav,74.wav
Buddhist Bells.wav,75.wav
Packaging Paper Pen Scribble.wav,76.wav
kitchen-door.wav,77.wav
cd_load_26sedit.wav,78.wav
dishwasher beep and motor.wav,79.wav
dryer_long_1.wav,80.wav
Sugar Packet.wav,81.wav
Heavy Rain 1.wav,82.wav
Steps Indoor medium soft Shoe Sole accompanying wooden Floor hollow Big Room 5mx10mx6m.wav,83.wav
CivicSI.Accelerating.1.wav,84.wav
Windshield Wiper.wav,85.wav
Pasta bag shuffling.wav,86.wav
Oie 01.wav,87.wav
cooking onions.wav,88.wav
trainsounds.wav,89.wav
Creaking and squeaking of old headsets.wav,90.wav
Rain_inside_of_a_Car.wav,91.wav
Crows chattering.wav,92.wav
picht-type-writer.wav,93.wav
Noise Monster 7.wav,94.wav
klotsend ad veerpont ii.wav,95.wav
landschap3.wav,96.wav
Summer Ambiance .wav,97.wav
lakeside birds 2.wav,98.wav
"Shopping Mall, ambience.wav",99.wav
rbh train freight by.wav,100.wav
Static buzz_ Jet Take-off.wav,101.wav
squeaky metal swing.wav,102.wav
feed back.wav,103.wav
Ferry II.wav,104.wav
Plastic Scraping On Wood Floor.wav,105.wav
Footdrags Dirt.wav,106.wav
Toy Car.wav,107.wav
FOREST-SOUNDS.wav,108.wav
Gas Oven.wav,109.wav
glissando1b.wav,110.wav
gym machine.wav,111.wav
Hand-held shower head handling .wav,112.wav
MrM_OldAutoFocus_Nikon2020.wav,113.wav
Interior Plane Taking Off.wav,114.wav
twohoundsbarking.wav,115.wav
WILDTRACK Mixed woodland in Minnesota USA.wav,116.wav
Static sputtering noises 1.wav,117.wav
Ketchup Farts #2.wav,118.wav
Serving Water Slowly.wav,119.wav
Knocking at door.wav,120.wav
LittleChild_WoodenFloorFootsteps_01.wav,121.wav
MagnusSmallElectrWindOrgan.wav,122.wav
Metal_Workshop_3.wav,123.wav
"Ninos y monitores en el comedor, catalan_castellano.wav",124.wav
Plane Edge540 Hannes Arch.wav,125.wav
practice.wav,126.wav
treefrogs.wav,127.wav
SYnth_NoisesAV.wav,128.wav
Plunger Pop.wav,129.wav
rum.wav,130.wav
texture04.wav,131.wav
_01storm - orage.wav,132.wav
klk2.wav,133.wav
01 car sequence.wav,134.wav
01 residential elevator with door open and close.wav,135.wav
"Auto, ajo vedessa, maastossa _ A car, jeep, atv, slow drive on a difficult, wet terrain, brief stop.wav",136.wav
Tapping on metal.wav,137.wav
02763 inside damaged chopper.wav,138.wav
Walking In Snow.wav,139.wav
Infernal Wind.wav,140.wav
BEACH_SMALL_SAND.wav,141.wav
04638 heating bleeding valve.wav,142.wav
05687 morning birds ambience.wav,143.wav
070821_flsp_trail03.wav,144.wav
shop cash register 01.wav,145.wav
Rain on Car Roof 2.wav,146.wav
081019_02_machine_engine.wav,147.wav
09 hn_handrail.wav,148.wav
1 man running on pavement.wav,149.wav
Sound_FX_Kitchen_Plates.wav,150.wav
elderly_meeting.wav,151.wav
12 noon church-bell 140310_0121.wav,152.wav
Water2.wav,153.wav
1290 am static jumble.wav,154.wav
Nails crackle 3.wav,155.wav
voice.wav,156.wav
130915 - Interior-Hard Rain with 2 Skylights.wav,157.wav
rain and storm outside the window.wav,158.wav
16 hn_meltingsnow.wav,159.wav
16 Little Beat.wav,160.wav
16. Toilet paper roll and ripping.wav,161.wav
160928_0051 rain.wav,162.wav
outdoors ambient windy wind leaves rustle 2.wav,163.wav
20060426.marsh.house.ambiance.wav,164.wav
20060802.waders.truck.wav,165.wav
20060810.peters.clock.01.wav,166.wav
Oct-18th-Drm-3A1.wav,167.wav
20061121.pee.wav,168.wav
20061124ParadeCHS.wav,169.wav
Collob church bells 2.wav,170.wav
20061208.waves.02.wav,171.wav
20061214.stapler.wav,172.wav
20061214.wrench.02.wav,173.wav
20070318.dirt.road.wav,174.wav
SFX_CHEERS-Bottle-CLANK_Beer-n-Wine.wav,175.wav
20070618 032137 treinreis.wav,176.wav
20070620 092618 front garden sultan palace jogjakarta.wav,177.wav
20071229.cooing.wav,178.wav
buzzing bee 3 multi.wav,179.wav
quick walk.wav,180.wav
crowd2.wav,181.wav
20080505_1306playground01.wav,182.wav
20080614.bells.wav,183.wav
20080702.marsh.crickets.snippet.wav,184.wav
20080805.birches.n.birds.01.wav,185.wav
CuttingOnion.wav,186.wav
20090501.horse.neigh.wav,187.wav
Elektron Analog Rytm Beat &gt; Redson EC-25 8-track tape echo.wav,188.wav
Group running in sync on concrete.wav,189.wav
breaking_small_window.wav,190.wav
20091224.bells.03.wav,191.wav
perafan_felipe_antropo_fonia_imprimiendo.wav,192.wav
20091225.rain.wav,193.wav
20092007.strike.wav,194.wav
folding and crumpling paper.wav,195.wav
Noisy Hotel Bathroom Fan (starts + stops).wav,196.wav
wind_howling_01.wav,197.wav
Crowd Laughing.wav,198.wav
Train Passby Right to Left with Horn Short 02.wav,199.wav
waterfall.wav,200.wav
20101206.06.seagulls.wav,201.wav
Small_Refrigerator_Refrigeration-For_Freesound.wav,202.wav
InsectsLateSummerCacheRiverSep92012.wav,203.wav
cooling unit close up 1 san diego 2013.wav,204.wav
20130405_wooden.stairs.floor.01.wav,205.wav
Davis.wav,206.wav
bebops_water1.wav,207.wav
20160326_103240.wav,208.wav
Town Square Ambience.wav,209.wav
atm money bank machine.wav,210.wav
outro-dia-mais.wav,211.wav
Ext-amb_late-fall-night_Distant-Dog-going-bizerk-fallcrickets.wav,212.wav
Rusty old boat.wav,213.wav
2HorseCartsGheoghieni.wav,214.wav
30 seconds after (Mike Marsh).wav,215.wav
34_ELEVA.wav,216.wav
53 blackhead_minifjord_closeup.wav,217.wav
96 stock.wav,218.wav
Forbidden Purr01.wav,219.wav
"a gentle breeze, wind 2.wav",220.wav
copenhagen atmosphere around fountain 2012-07-10.wav,221.wav
abstract-train.wav,222.wav
Light Rain Home.wav,223.wav
Birds Singing in a Small Town During Morning.wav,224.wav
AGFA_1.wav,225.wav
air bubbles on the surface of the water.wav,226.wav
air pedal_001.wav,227.wav
creaky-stove-door.wav,228.wav
All bells ringing at Notre-Dame in Paris.wav,229.wav
Christmas market Neptunbrunnen 03 111223.wav,230.wav
AMB_Int_Rain_Auto_001.wav,231.wav
"Ambience - Merri path, trees and birds, gentle wind.wav",232.wav
Ambience Coffee Shop 3 .wav,233.wav
Ambience-Centre of a busy mall.wav,234.wav
Deep Space (Cinematic Soundscape).wav,235.wav
ambient_bcn_glories.wav,236.wav
glass scraping_ST.wav,237.wav
walk_on_bed.wav,238.wav
police_car_siren-esp.wav,239.wav
angry squirrel.wav,240.wav
Announcement Rotterdam Centraal 090408.wav,241.wav
Japan_Kashiwa_Friend-LeafWhistle_Lawnmower.wav,242.wav
STE-040 italian police siren.wav,243.wav
Grasshoppers during a storm.wav,244.wav
"Atmo Public Swimming Pool Entrance, Germany.wav",245.wav
attic_fan_contact.wav,246.wav
Automatic coffee machine.wav,247.wav
baby bell rattle 05.wav,248.wav
baby_voice_11months(11).wav,249.wav
bacardi-open-and-close.wav,250.wav
background2(bar or pub).wav,251.wav
Slide.wav,252.wav
backyard.wav,253.wav
Bad com link sound.wav,254.wav
Wet Towel Floor Impact Punch Drop Bag Cloth.wav,255.wav
FRIDGEJOHANNAHOME.wav,256.wav
Fenway Park Sep 19 2010.wav,257.wav
stepshh.wav,258.wav
Childrens Play Park.wav,259.wav
BANISTER_FLOOR CREAK.wav,260.wav
Office Ambient Sound.wav,261.wav
dare16_orchestral_scape2.wav,262.wav
bareboneshowling.wav,263.wav
spoon tapping glass.wav,264.wav
Short Hailstorm.wav,265.wav
Bathroom wash face.wav,266.wav
Bathtub_water-gentle-swish.wav,267.wav
"Beach Waves, Praia Grande.wav",268.wav
BEACH_BIG WAVES_STORM.wav,269.wav
STE-027FIRE.wav,270.wav
pages turning.wav,271.wav
Beer Pong Sounds ball table and cups.wav,272.wav
Spain Holland 1-5 140613_00.wav,273.wav
bell cbn2 b1 89.wav,274.wav
bell gong urban park.wav,275.wav
dmv - &#39;now serving&#39;.wav,276.wav
Bells at level crossing.wav,277.wav
bellsequence.wav,278.wav
Playing with Washers.wav,279.wav
petrol station filling up car.wav,280.wav
big bubbles on water.wav,281.wav
BIG DOG EATING_Dog Eating out of metal bowl (SFX).wav,282.wav
Big Sur Pfeiffer Beach Park Stream.wav,283.wav
Vinyl record noise.wav,284.wav
LoaderTruckOutsideHouse.wav,285.wav
Bird-slips-out-of-egg.wav,286.wav
birds and wind 13.wav,287.wav
Birds In A Cage On Antibiotics.wav,288.wav
birds near river.wav,289.wav
franco_hernan_geo_fonia_riachuelo_santa_elena_corregimiento_medellin.wav,290.wav
Blackcap.wav,291.wav
flapping Bird.wav,292.wav
unreal atmosphere x20mi2b.wav,293.wav
eating biscuits1.wav,294.wav
Machetes sliding 2.wav,295.wav
bled_island2.wav,296.wav
boca.wav,297.wav
"Boleskine, forest brook.wav",298.wav
bottle filling up.wav,299.wav
indoors house ambient more silent room tone.wav,300.wav
radio-waves-surround-sound-front.wav,301.wav
bridge demolition pounding.wav,302.wav
Brooklyn Residential Street.wav,303.wav
brownnoise.wav,304.wav
rain in pipes.wav,305.wav
bugs buzzing loud.wav,306.wav
High pitched drilling.wav,307.wav
Bus driving.wav,308.wav
GarbageTruck.wav,309.wav
Wind and Traffic Ambience.wav,310.wav
weekend03.wav,311.wav
coffee can.wav,312.wav
buzzy static.wav,313.wav
Typing on a typewriter with ding at end of each line.wav,314.wav
church-eglise #1.wav,315.wav
California morning birds singing.wav,316.wav
cambridge_train_station_02_shelter_water_2005.wav,317.wav
djf_burps.wav,318.wav
PS3F_FOZ_centro_RuaNaipi_Noite.wav,319.wav
Nightingale.wav,320.wav
Canarian_Bird_In_Cage_Singing_2.wav,321.wav
"ICE passing by, then an ambulance with siren.wav",322.wav
Lincoln Nebraska Tornado 5 9 2016.wav,323.wav
Some Sort of Engine 1.wav,324.wav
Stoney_StormyC_Nov12.wav,325.wav
Car wash.wav,326.wav
maskingtape.wav,327.wav
Car_Keys.wav,328.wav
Radio annoyance.wav,329.wav
Country Stream (2).wav,330.wav
Cardiff Bay fireworks.wav,331.wav
Cardinal Key West.wav,332.wav
cartwheel suitcase plastic wheels rolling on tiled pavement floor plock tock with ambient outdoors.wav,333.wav
"Fly fishing - winding in reel fast, slow.wav",334.wav
Matches.wav,335.wav
cat eating cat food.wav,336.wav
Cat Licking Water In Cup.wav,337.wav
CuttingCarrot.wav,338.wav
Cat Purring 2.wav,339.wav
cathedral ambience 01.wav,340.wav
sw_RainWithCrickets_20100917.wav,341.wav
CFX-20130331-UK-DorsetSeaCliff03.wav,342.wav
Industrial Heating Vent.wav,343.wav
chainsaw and little tree.wav,344.wav
Cheer.wav,345.wav
Chickadees Singing.wav,346.wav
chicken_freesound.wav,347.wav
childrenoh.wav,348.wav
md10trk5.wav,349.wav
"Chinese Restaurant Atmo, Germany, Subtle.wav",350.wav
wood desk Open and close.wav,351.wav
Chris&#39; Elevator.wav,352.wav
Chris&#39; window noise.wav,353.wav
Skate pass on road 4.wav,354.wav
Chuck-will&#39;s-widow.wav,355.wav
Cicada-Indian Insect Sound.wav,356.wav
distant cars.wav,357.wav
Cigarette_roll_pack.wav,358.wav
DePanne.wav,359.wav
Marina Ambient.wav,360.wav
Sticks Hitting sticks.wav,361.wav
window_cleaning.wav,362.wav
coffe_machine.wav,363.wav
Fireworks-close-01nov2014.wav,364.wav
coffeeMachine_makingCoffe.wav,365.wav
CoinSpin.wav,366.wav
Pencil Scratch 2.wav,367.wav
ComeAndGo-metro-BCN.wav,368.wav
froggies.wav,369.wav
Construction 1.wav,370.wav
MicroscopeSlides.wav,371.wav
construction site 1.wav,372.wav
Maas 02 100215.wav,373.wav
Noisy Old Elevator.wav,374.wav
Cookie pan hit.wav,375.wav
Generator.wav,376.wav
Hospital corridor.wav,377.wav
Cooking with Gas ( Like a Rocket).wav,378.wav
cooking_02.wav,379.wav
Kitchen Noise From Distance.wav,380.wav
R09_0007.wav,381.wav
countdownandcheer_01.wav,382.wav
countdownandcheer_02.wav,383.wav
Light Rain on Windscreen.wav,384.wav
Crane ship unloading sand 1.wav,385.wav
Howling Storm.wav,386.wav
Oven Door.wav,387.wav
SnappingBamboo.wav,388.wav
Creek 115.wav,389.wav
creek01a.wav,390.wav
creeky chair.wav,391.wav
Crepe Making.wav,392.wav
Crickets and dogs barking at night in a residential district of Tucson. City and cars in the far background.wav,393.wav
crickets and owls.wav,394.wav
Crow noise.wav,395.wav
Hail and Rain in the Courtyard.wav,396.wav
transmission.wav,397.wav
Door Handle and Lock.wav,398.wav
Crumple Paper.wav,399.wav
crumpling paper.wav,400.wav
Crunching Snow Edited.wav,401.wav
cupboard-twang1.wav,402.wav
Slider door.wav,403.wav
